INSTITUCION;COD_IPRESS;NOMBRE;CLASIFICACION;TIPO_ESTABLECIMIENTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;DIRECCION;CO_DISA;COD_RED;COD_MICRORRED;DISA;RED;MICRORED;COD_UE;UNIDAD_EJECUTORA;CATEGORIA;TELEFONO;HORARIO;INICIO_ACTIVIDAD;ESTADO;NORTE;ESTE;IMAGEN_1;FE_ACT_IMAGEN_1;IMAGEN_2;FE_ACT_IMAGEN_2;IMAGEN_3;FE_ACT_IMAGEN_3
GOBIERNO REGIONAL;3252;4 DE NOVIEMBRE;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. RUBEN DARIO Nº 257 - BARRIO 4 DE NOVIEMBRE;29;150;968;PUNO;PUNO;JOSE ANTONIO ENCINAS;919;SALUD PUNO;I-3;950814729;7:00 - 19:00;22/04/1986;ACTIVO;-15.82486667;-70.02903167;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159861968.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159889840.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159930961.png;
GOBIERNO REGIONAL;3255;VALLECITO;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;BARRIO VALLECITO;29;150;967;PUNO;PUNO;METROPOLITANO;919;SALUD PUNO;I-3;352790;7:00 - 19:00;23/04/1986;ACTIVO;-15.82941167;-70.020545;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3255_29378523_1435158780822.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3255_29378523_1435158834490.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3255_29378523_1435158844695.png;
GOBIERNO REGIONAL;3257;HABITH HUMANITY;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV. TIQUILLACA KM.6;29;150;968;PUNO;PUNO;JOSE ANTONIO ENCINAS;919;SALUD PUNO;I-2;980726407;7:00 - 19:00;20/12/1993;ACTIVO;-15.82056667;-70.05205833;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3257_29378523_1435161570631.png;24/06/2015 00:00;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3257_29378523_1435161686334.png;24/06/2015 00:00;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3257_29378523_1435161708331.png;24/06/2015 00:00
GOBIERNO REGIONAL;3261;LOS UROS;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ISLA FLOTANTE UROS;29;150;967;PUNO;PUNO;METROPOLITANO;919;SALUD PUNO;I-1;950790430;8:00 - 14:00;20/02/1990;ACTIVO;-15.8402218;-70.0218805;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20181128211916.jpg;;;;;
GOBIERNO REGIONAL;3262;LLAVINI;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ACTUALIZAR;;150;962;;PUNO;PUNO;919;SALUD PUNO;0;ACTUALIZAR;ACTUALIZAR;1/01/1900;BAJA DEFINITIVA;;;;;;;;
GOBIERNO REGIONAL;3265;SIMON BOLIVAR;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ASENTAMIENTO HUIMANO SIMON BOLIVAR MANZANA Ñ LOTE 9;29;150;969;PUNO;PUNO;SIMON BOLIVAR;919;SALUD PUNO;I-3;051-352378;7:00 - 19:00;22/04/1986;ACTIVO;-15.86454333;-70.01235833;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3265_29378523_1435163624508.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3265_29378523_1435163709277.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3265_29378523_1435163723447.png;
GOBIERNO REGIONAL;3266;VIRGEN DE LA CANDELARIA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ALTO PUNO;29;150;968;PUNO;PUNO;JOSE ANTONIO ENCINAS;919;SALUD PUNO;I-2;957493183;7:00 - 19:00;30/01/1996;ACTIVO;-15.82896833;-70.03500167;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3266_29378523_1435160398031.png;24/06/2015 00:00;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3266_29378523_1435160413329.png;24/06/2015 00:00;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3266_29378523_1435160456932.png;24/06/2015 00:00
GOBIERNO REGIONAL;3267;YANAMAYO;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ACTUALIZAR;;150;962;;PUNO;PUNO;919;SALUD PUNO;0;ACTUALIZAR;ACTUALIZAR;1/01/1900;BAJA DEFINITIVA;;;;;;;;
PRIVADO;30247;"CENTRO MEDICO ESPECIALIZADO EN GASTROENTEROLOGIA Y ENDOSCOPIA DIGESTIVA ""ENDOGASTRO""";CENTROS MEDICOS ESPECIALIZADOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;PEDRO MIGUEL URBINA 1ER PISO;29;;;PUNO;;;;;I-3;972709361;07:30 - 19:30;26/07/2021;ACTIVO;-15.8470452;-70.0235465;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20241009110836.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20241009110842.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20241009110849.jpeg;
SANIDAD DE LA POLICIA NACIONAL DEL PERU;10235;POLICLINICO DE SALUD PNP-PUNO;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV. JULIACA S/N ALTO HUASCAR;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;I-3;051-364512;07:30 - 19:30;6/06/1965;ACTIVO;-15.8416987;-70.0201942;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20190725083024.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20190725083036.jpg;;;
GOBIERNO REGIONAL;3256;MARCA JILAPUNTA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ACTUALIZAR;;150;962;;PUNO;PUNO;;;0;ACTUALIZAR;ACTUALIZAR;1/01/1900;BAJA DEFINITIVA;;;;;;;;
PRIVADO;29156;policlinico virgen de guadalupe sur S.A.C;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;salcedo;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;I-3;999931050;8:00 - 18:00;10/12/2020;ACTIVO;-15.8437999;-70.0271981;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240225161109.jpeg;;;;;
